wav	words	duration
sarawak-01-47.wav	ya lah tek	0.97
sarawak-01-48.wav	sik hal mun duit banyak beranak rami pun sikdahal	2.54
sarawak-01-49.wav	eh tapi nya kacak nya ngacak diriknya	3.86
sarawak-01-50.wav	tapi risiko tinggi bah mun rozita che wan ya beranak gik	3.86
sarawak-01-51.wav	tapi kamek heran camney mun rozita che wan beranak nak nya normal birth macam deliver baby dengan secara normal	9.74
sarawak-01-52.wav	sik tauk juak eh kali tenaga nya gik ada kali untuk nolak baby ya kali	5.52
sarawak-01-53.wav	yalah kamek pelik apa kamek ber ceaser ndah owh pas ya nak lekat-lekat pa semua apa kamek sikda pun kedak ya kamek gik mudak bah	10.35
sarawak-01-54.wav	rozita che wan mudak gik dari kitak kali	1.85
sarawak-01-55.wav	haha yah apa namanya tek apa kata nat tek tunang kitak tek nak rozita che wan sik boleh melintas parit	9.12
sarawak-01-56.wav	aok sik boleh melintas parit	1.23
sarawak-01-57.wav	pahal ah	1.75
sarawak-01-58.wav	pantang nya nya sik maok udara kotor dari parit ya bah	3.08
sarawak-01-59.wav	sak nya kacak lah	1.57
sarawak-01-60.wav	ya nya maintain kacak ya	2.37
sarawak-01-61.wav	mena kah	0.94
sarawak-01-62.wav	laki nya untong nak	2.38
sarawak-01-63.wav	tapi kita tok still human semua orang sama jak ya pantang apa entah kamek pun sik tauk	7.63
sarawak-01-64.wav	lain orang lain cara pantangnya lebih-lebih gik dah zaman moden tok pantang orang sik kedak dolok	7.37
sarawak-01-65.wav	yalah tek pas ya nangga nya berpantang tek nak nya engkah tungku-tungku ya pa suma tapi muka bermekap camney gaya nya	8.16
sarawak-01-66.wav	endak lah mek tauk pelik juak owh	1.31
sarawak-01-67.wav	rozita che wan madah camtok dalam twitter ka apa kah nya madah orang tek nanyak “bukan pantang ka kenak kau berik anak minum susu formula kenak sik berik breastfeeding ”	15.88
sarawak-01-68.wav	aok nya sik berik susu ibu	0.88
sarawak-01-69.wav	orang ya tek bodo juak sik kan lah masa tengah pureen chak-chak tek nya tengah mukak baju pasya nak berik nenen nak	8.42
sarawak-01-70.wav	aok eh	0.53
sarawak-01-71.wav	ya pun bodo juak satu	1.58
sarawak-01-72.wav	mun sik nya ngepam lah dolok ngepam susu ibu dolok engkah dalam botol	4.91
sarawak-01-73.wav	ya lah dipadah oleh rozita che wan	1.06
sarawak-01-74.wav	sik lah orang lalu nak berik susu formula nak	2.28
sarawak-01-75.wav	aok eh pelik dapat kah nya nangga dengan mata kasar susu formula dengan susu ibu	4.52
sarawak-01-76.wav	aok penauk juak orang penonton tok	2.36
sarawak-01-77.wav	yalah over ya lah tek	1.58
sarawak-01-78.wav	dah ya apa gik ditunjok rancangan ya tek dah abis kah rancangan ya	2.9
sarawak-01-79.wav	dah abis dah sebab nya aqiqah lah last	3.16
sarawak-01-80.wav	oh aqiqah last abislah sikda apa-apa gik	2.72
sarawak-01-81.wav	ada nangga baju nya	1.01
sarawak-01-82.wav	sikda koh kamek nang sikda nangga rancangan ya	2.32
sarawak-01-83.wav	instagram si rozita che wan ya baju nya lok baju nya nang kacak tapi nya nang gemok lah sekpat padah apa gik	6.23
sarawak-01-84.wav	badan orang baruk lekak beranak	1.14
sarawak-01-85.wav	rizman ruzaini molah bajunya nang gossip mena taduak tok owh suk kita duak ngan rozita che wan okay kitak tauk sik rozita che wan dah sikda gik ngan safi rania gold	9.03
sarawak-01-86.wav	safi rania	1.06
sarawak-01-87.wav	sekda	0.62
sarawak-01-88.wav	apalah dipakey nya kinek tok	1.23
sarawak-01-89.wav	sik lah kamek tauk apa dipakeynya tapi kitak tauk siapa tekak lok siapa	5.17
sarawak-01-90.wav	siapa ney lah kamek tauk	1.58
sarawak-01-91.wav	tunang kitak sangat meminatinya	1.58
sarawak-01-92.wav	siapa	0.7
sarawak-01-93.wav	apa nama ompuan ya tek owh	3.33
sarawak-01-94.wav	kamek sik tauk namanya	1.23
sarawak-01-95.wav	muka nya kacak nora danish	2.02
sarawak-01-96.wav	oh nora danish oh patutlah kamek nangga instagram nya tadik ada safi rania gold	5.53
sarawak-01-97.wav	buat pengetahuan kitak kamek membeli semua benda nya bukan sebab rozita che wan ataupun nora danish tapi kamek rasa macam	7.67
sarawak-01-98.wav	kitak ingin mok jadi artis juak kali	1.49
sarawak-01-99.wav	kamek rasalah tapi apa boleh buat kamek tok kerja kat tempat lain tek nak nak jadi penyanyi sikda orang lalek agik camney nak jadi penyanyi academician sik boleh menyanyi pasya tek pasya beli lah kamek yalah kamek gembira tek paduhal tek kamek sama level dengan nora danish sik kan ada rania gold rania diamond pasya diamond ya kan ziana zain	25.71
sarawak-01-100.wav	owh ziana zain tek ada juak	2.28
sarawak-01-101.wav	ya kamek pelik camney range orang makey diamond maksud nya mudak agik daripada rozita che wan	5.09
sarawak-01-102.wav	diamond untuk orang tua kali nak	2.1
sarawak-01-103.wav	ziana zain tua gik daripada rozita che wan kah	1.85
sarawak-01-104.wav	mesti lah	1.49
sarawak-01-105.wav	ya kah	0.62
sarawak-01-106.wav	ziana zain anak dah brapa orang dah lima orang kah anaknya nak	3.76
sarawak-01-107.wav	mena ka oh	1.5
sarawak-01-108.wav	ziana zain tua gik	1.84
sarawak-01-109.wav	 so gold adalah middle lah tek tengah-tengah lah tek"	3.07
sarawak-01-110.wav	kali juak diamond atas gik dari gold bah mun kitak nangga susunannya mesti permata dolok baruk gold emas nak lepas permata baruk emas	9.56
sarawak-01-111.wav	oh	0.62
sarawak-01-112.wav	 so permata lah paling tua lah kononnya"	2.89
sarawak-01-113.wav	 mummy gago juak makey kamek pun ya kamek madah ngannya “mi kitak maok jadi ziana zain kah kitak maok jadi rozita che wan mun kitak nak jadi rozita che wan kitak pakey gold mun kitak nak jadi ziana zain kitak pakey diamond”"	12.11
sarawak-01-114.wav	bedal ajak mummy pakey ajak semua	3.07
sarawak-01-115.wav	tauk sik kitak nya macam bertapok	6.05
sarawak-01-116.wav	bertapok apa	1.14
sarawak-01-117.wav	nya ambik pencuci muka kamek cayak sik kitak nya tek nak makey padahlah kita tek nak makey nak boh lah betapok-tapok nak tekan jak lah sia sikda lah kamek kisah pun tapi yalah tek berbalik kepada crita kita tadik nak rozita che wan crita kita tek owh	12.2
sarawak-01-118.wav	aok melelat dah ke nak ya tek kotan makey safi rania tek nak	4.21
sarawak-01-119.wav	aok lah tek sik tauk lah kamek kinek tok mun si sekali nangga tek lalu buntin gik nangga kitak instagram nya kelak ada pregnancy test lalu ada engkah nak ada double line	9.0
sarawak-01-120.wav	dah nya maok branak cepat gik nak	1.84
sarawak-01-121.wav	ndak ku brani	1.14
sarawak-01-122.wav	nya takut bah takut nya menopos orang dah berumur yalah maok cepat-cepat	6.93
sarawak-01-123.wav	apa disuka gilak orang dengan rozita che wan ya	2.81
sarawak-01-124.wav	sebab nya kacak ajak sebab yalah orang suka	2.1
sarawak-01-125.wav	kacak kah nya	0.71
sarawak-01-126.wav	badannya kacak figure nya ada bentuk badannya	3.59
sarawak-01-127.wav	tapi nya dah gemok	1.14
sarawak-01-128.wav	yalah dah beranak gemok lah nya klak kitak nangga nya jaga badannya gik macam ney tapi sempat ndak kah nya nak nyaga badannya mun nya dah nak branak gik owh	9.22
sarawak-01-129.wav	yalah tek sapa nama nya	3.59
sarawak-01-130.wav	astro tok pun macam-macam juak lah ambik rancangannya tapi nya tauk orang maok nangga	4.04
sarawak-01-131.wav	rancangan pureen chak-chak eh kitak tauk sik nya ambik recording ya dekat atas katil pasya tek nak si zain tek gurin kedak apa jak atas ya perlu kah ko ambik scene ya	11.32
sarawak-01-132.wav	romantik lah tek	1.58
sarawak-01-133.wav	ya lah tek	0.57
sarawak-01-134.wav	ya lah	0.48
sarawak-00-1.wav	zul ada sik kitak nangga dalam facebook pasal qz8501 ya eh	4.76
sarawak-00-2.wav	ada kamek nengar terkejut kamek nengar ari ya koh	2.28
sarawak-00-3.wav	ya allah kitak nengar dari sapa	2.13
sarawak-00-4.wav	kamek bangun-bangun tido hari ahad ya lalu kamek tek turunlah dibah ingat tek nak breakfast tek sekali mek turun-turun dibah tek tangga mek tv apa benda tok ada belon ilang agik tok ingat tek macam tek ingat tek orang main-main bulak-bulak ajak sekali nangga tek aih bila check mek balit tangga mek dalam twitter tangga mek dalam facebook aih orang madah mena paduhal ne ndak macam san juaklah nyawa nengar mula-mula benda ya	24.2
sarawak-00-5.wav	kamek eh tedah eh dahlah kita ada mh370 yang ilang-ilang sik datang ya	6.08
sarawak-00-6.wav	sampe kinek tok sik temu	1.3
sarawak-00-7.wav	lepas ya mh17 kenak tembak orang o tedah pasya kinek tok qz8501 dah lah air asia nasib bait lah air asia ya indon mpun tapi sama juaklah namanya datangnya dari sine mestilah dari malaysia	12.12
sarawak-00-8.wav	dari malaysia juak	0.56
sarawak-00-9.wav	 brand nya malaysian pun bah pasya tek nak  apa namanya tek  berapa orang tek seratus brapa"	8.06
sarawak-00-10.wav	sik pasti juak kamek brapa orang	0.88
sarawak-00-11.wav	166 orang	1.46
sarawak-00-12.wav	orang malaysia ada juak lam ya	1.53
sarawak-00-13.wav	sorang jak tapi sebenarnya nak orang malaysia ya bukan orang malaysia pun kamek nangga siapa kah madah dalam meletop crita dalam meletop nak nya madah orang tok tek nya ada bapak dengan anak bapa nya singaporean anak nya malaysian ok lepas ya emaknya indon dua orang daknya tek empat nak pegi ke singapore pasya empat orang tok dua orang-mak ngan anak pompuan bapak ngan anak laki pasya flight lain-lain	35.81
sarawak-00-14.wav	belon lain-lain	2.16
sarawak-00-15.wav	lepas ya so termasuk skali lah malaysian sorang tek singapore sorang yalah duak orang tek nya bukan eh singapore ka singapore ka uk oh tapi yang penting nya bukan orang indon lah yang malaysian ya bukan orang malaysia yang tulen lah pasya kitak ada nangga sik gambar ya allah astagfirullahalazim	18.75
sarawak-00-16.wav	yalah kamek sik rajin nak nangga facebook sian mek nangga	2.72
sarawak-00-17.wav	kitak tauk sik nya mpun muka nak tengkorak jak	3.81
sarawak-00-18.wav	aih	0.53
sarawak-00-19.wav	pasya aok mena-mena tengkorak muka nampak tengkorak disiarkan oleh berita vietnam camney facebook boleh nak	6.52
sarawak-00-20.wav	siney daknya roleh nakya mayat ambik dari laut ya kah	3.53
sarawak-00-21.wav	ya eh kitak tauk sik nya ngambik camne nya ambik mayat kedak nya ngambik ikan eh angkat tarit pegi atas	7.41
sarawak-00-22.wav	memang isi dah habis di makan ikan ya kali	1.21
sarawak-00-23.wav	sikda	0.89
sarawak-00-24.wav	ya tinggal tengkorak jak ya	0.19
sarawak-00-25.wav	isi badan ok muka jak	2.46
sarawak-00-26.wav	muka nya sikda	0.83
sarawak-00-27.wav	pasya kesian nang kesian lah tapi macam ibohlah kita sampe engkah benda macam ya dalam facebook nak	4.21
sarawak-00-28.wav	aok ndaklah mek mok nangga sikda selera mek makan klak	2.59
sarawak-00-29.wav	kamek nangga jaklah apa benda ya semua pasya tek ada sigek gik tiga orang family tiga tiga family ya se family lah tok sorang kanak-kanak ompuan palak sikda kaki sikda badan jak ada	11.72
sarawak-00-30.wav	aih aduh	1.2
sarawak-00-31.wav	pasya mak bapaknya ada ada badan	4.03
sarawak-00-32.wav	tapi dapat juak dikenalpasti tek owh	2.49
sarawak-00-33.wav	dapatlah nya menggunakan gigi dan rambut sik apat kitak nak nguna muka ne ada muka agik ne nampak muka agik dah lepas ya tek nak apa tek o knek tok dah di stop qz8501	12.59
sarawak-00-34.wav	owh dah di stop owh	0.62
sarawak-00-35.wav	brapa bulan owh masa ya owh brapa minggu jak owh	3.23
sarawak-00-36.wav	lamak juak lah nak sik brasa bah	1.37
sarawak-00-37.wav	sebulan	1.16
sarawak-00-38.wav	ada kali lebih sebulan kali nak owh	2.2
sarawak-00-39.wav	tedah owh nangga cdaknya o ya lah pasya nakkahlah faizul pegi nak sibu ariya tek nak nya madah eh dalam masa setengah jam ya eh nya rasa nya nak mati sebab belon macam kedak orang kedak belon nak macam terhoyong hayang	12.68
sarawak-00-40.wav	terhoyong hayang ya	0.66
sarawak-00-41.wav	aok nang gila pun nak ya eh sebab kan hari hari ujan pegi hantar nya ya pasya mummy kamek sebelum nak qz ya nakkah nya pegi miri	8.24
sarawak-00-42.wav	aok	0.42
sarawak-00-43.wav	pegi miri ke kuching	0.59
sarawak-00-44.wav	aok mummy pegi miri riya owhh	0.91
sarawak-00-45.wav	kitak tauk sik mummy madah nya nak aunty kamek eh cik aton kamek eh sampe madah camtok aku sik dapat gik nak berselawat aku mikir ap insurans”	9.8
sarawak-00-46.wav	aduh	0.23
sarawak-00-47.wav	“insurans ku sapa yang paling kaya anak ku anak ku duak orang ya laki ku kaya lah sidak tok dapat insurans ku” ya dipikirnya	7.25
sarawak-00-48.wav	ya dipikirnya nya lok	0.16
sarawak-00-49.wav	bukannya nak beristighfar ka apakah mummy dah kecut dah pasya tek nak bila dah sampe rumah eh lalu nak aiman nak anak cik aton ya nak madah “kamek sik akan nait belon agik” masa ya nakkah masa ribut topan melanda ya	12.14
sarawak-00-50.wav	aok nya sik mok nait belon agik ya nak belon qz nak dah ditemu ya black box nya ada nak kotak hitam ya nak	6.73
sarawak-00-51.wav	ada tapi sidaknya madah nya macam turn macam berpusin aok berpusin pas ya eh no nya nait dengan keadaan sangat mendadak kelajuannya sangat tinggi pasya nya turun pup gugok terus	12.72
sarawak-00-52.wav	owh sikda papa rakaman kah kotak itam ya sora-sora orang ka apa	5.71
sarawak-00-53.wav	nya sik nya madah camtok indonesia ya nya madah	3.22
sarawak-00-54.wav	adam air	0.7
sarawak-00-55.wav	mh17 ya nakkah ada	2.21
sarawak-00-56.wav	ada nya sia kah	0.86
sarawak-00-57.wav	mh17 nakkah ada sora	1.64
sarawak-00-58.wav	bena kah	0.66
sarawak-00-59.wav	mh370 hilang sik eh	1.34
sarawak-00-60.wav	kitak pernah nengar kah	0.54
sarawak-00-61.wav	sik mh370 nak ya jak owh ya nak dari stesen kawalan ajak	4.13
sarawak-00-62.wav	aok kitak pernah nengar kah mh17 ya sikda nak daknya sik akan menyiarkan benda-benda camya bah	4.39
sarawak-00-63.wav	aok yalah tek	1.23
sarawak-00-64.wav	 apa nama nya tek  bila keadaan macam tok nak lalu tetiba kitak nengar nak ada brita nak madah nak ya lah landing sigek kaki lah	8.43
sarawak-00-65.wav	biasalah ya lalu lah	1.92
sarawak-00-66.wav	aok kamek pelik owh kenak macam ya macam pilot macam takut jak aok apahal kah	4.09
sarawak-00-67.wav	sikit jak benda lalu semua orang kecoh lepas tok	3.22
sarawak-00-68.wav	eh ada jet jet ada nangga sik jet jet sepuloh orang maut	4.6
sarawak-00-69.wav	ah	0.26
sarawak-00-70.wav	ff16 kah nak orang training ya bah cdak training sik tauk lah kamek dari siney tapi nya tegugok sepuloh orang dalam ya maut	8.66
sarawak-00-71.wav	aduh	0.46
sarawak-00-72.wav	aok	0.52
sarawak-00-73.wav	cdak apa training	1.44
sarawak-00-74.wav	ya macam tentera sidak bah kali tapi ya  orang nak ya lah   orang di negara luar lah	9.14
sarawak-00-75.wav	yalah kita nangga kinek tok eh mala jak kes gya owh lekak sigek sigek jak kita turun kerja pun orang sentiasa bercerita hal belon ya semua orang maok tauk update bah	11.04
sarawak-00-76.wav	pasya nak kitak tauk sik cdak nak disebabkan qz ya tek eh cdak indonesia nak nya mok kurangkan flight penerbangan untuk nakya penerbangan murah nya sik maok agik ya nya akan abolish	17.26
sarawak-00-77.wav	kenak nya tujuannya ngurang penerbangan murah kenak	2.29
sarawak-00-78.wav	nya rasa sik selamat	2.05
sarawak-00-79.wav	mun murah sik selamat mun mahal selamat lah	1.72
sarawak-00-80.wav	selamat lah kamek pun sik tauk pas ya tek semua orang indon	2.27
sarawak-00-81.wav	dah namanya ajal	1.23
sarawak-00-82.wav	lalulah sidak nya tek kenak interview tek nak lalu cdak indon madah camtok “manalah kami mau cari duit” nya madah camya nak “tambang mahal-mahal” daknya kan cdak pegi malaysia selalu pa suma ya	10.51
sarawak-00-83.wav	aok aok nang jak sidak nya nang	2.37
sarawak-00-84.wav	ya benda dah berlaku bah ya takdir gney nak molah sik apat angkat pun nak qz ya kitak tauk sik ktk tali belon eh pecah sik apat angkat benda ya benda ya terlalu dalam	10.11
sarawak-00-85.wav	owh dalam gilak	1.07
sarawak-00-86.wav	kitak tauk sik mayat-mayat nak dalam ya memang ada terperangkap nya enam puloh lebih orang jak dapat bah kinek tok setakat tok lah yang lain-lain ya biar jak lah	6.85
sarawak-00-87.wav	aok	0.31
sarawak-00-88.wav	dan mufti sidak nya pun madah biarkan ajak	2.81
sarawak-00-89.wav	 stop jak lah dah sik pat ambik"	1.36
sarawak-00-90.wav	sikboh sik sik sik boh diambik sik boh nak dikubo benda ya dah sikda lagik	2.53
sarawak-00-91.wav	kubo nya lah ditanah ya lah kubo nya lah di laut ya kubo nya lah	4.76
sarawak-00-92.wav	jaik ati dengan orang lain ya owh	1.33
sarawak-00-93.wav	ya lah tapi sedih lah dengan keluarga nya yang macam berharap maok dapat balit mayat sidaknya boleh molah boleh dikubo nak aa ya dimaok daknya ada tempat pakey sidak ngabas mun dah dikubo mun sik di kubo apa nk diabas kita aa yalah	17.93
sarawak-00-94.wav	kitak ada pegi cney-cney gik ka pakey aeroplane eh pakey belon	5.43
sarawak-00-95.wav	sikda koh belom kamek tok fikir nak travel lagik takut nyawa nenga kita pun takut nenga belon camya	7.59
sarawak-00-96.wav	tapi ya jak lah paling cepat pun nak pegi pasya apa nama nya tek makey belon nak pegi kl	9.17
sarawak-00-97.wav	mula-mula dolok orang segal kes malaysia airlines orang nait air asia	4.97
sarawak-00-98.wav	aok eh	0.41
sarawak-00-99.wav	tok dah air asia agik orang nak nait belon apa gik	3.58
sarawak-00-100.wav	terpaksalah nak	1.11
sarawak-00-101.wav	terpaksalah gney-gney pun doa tawakal ajak	2.49
sarawak-00-102.wav	sik kan lah kita nak pakey kapal pegi ke jeddah pakey kapal	2.62
sarawak-00-103.wav	mun key kapal tenggelam arus laut gik	2.3
sarawak-00-104.wav	aok sama juak	0.44
sarawak-00-105.wav	ombak laut gik kita	1.37
sarawak-00-106.wav	dekat jalan raya pun mun kita dah nak mati ajal kita tiba mati juak nak	3.51
sarawak-00-107.wav	ya lah	1.31
sarawak-00-108.wav	apa nama ya tek kamek ari bila owh hari marek kamek pegi apa namanya	10.52
sarawak-00-109.wav	 airport"	0.3
sarawak-00-110.wav	lapangan terbang aok airport pegi sia tapi sik rami lah orang kamek rasa macam	4.69
sarawak-00-111.wav	dah sik laku gilak kali orang nait belon time tok	2.09
sarawak-00-112.wav	macam orang yang penting jak pegi ko mun sik penting sik payah pegi vacation	3.63
sarawak-00-113.wav	hmm	0.16
sarawak-00-114.wav	camya lah mummy madah pahal orang sikit owh mena sik banyak orang bah	4.39
sarawak-00-115.wav	banyak orang postpone nak ya belon kali	2.49
sarawak-00-116.wav	mena kah boleh postpone kah	1.88
sarawak-00-117.wav	boleh asal ada duit boleh ajak postpone asal sidak nya rasa dah daknya sidak rasa nak nait belon dolok sik nya maok pegi dolok bukan kitak sik tauk penerbangan murah orang suka beli tiket awal bah	11.49
sarawak-00-118.wav	yang si razip ya dolok pegi ke maldives ya apa benda orang pegi mh370 tiba-tiba nya dapat tiket murah pegi maldives gila eh maok juak nak pegi owh eh pegi nak hari ya nak	9.87
sarawak-00-119.wav	pegi nya ya untong lah reya	1.27
sarawak-00-120.wav	apa ditemunya di maldives ya	1.44
sarawak-00-121.wav	raon rilek-rilek ajak tapi yala laut	2.54
sarawak-00-122.wav	owh	0.97
sarawak-00-123.wav	pulau	0.49
sarawak-00-124.wav	sekali nangga nemu mh370 sia kamek rasa nak mh370 ya memang nya dah gugok pun dekat pulau	8.31
sarawak-00-125.wav	kita sik tauk ya gik masih misteri kinek tok nang sampey kinek tok sik tauk apa-apa	3.51
sarawak-00-126.wav	nya memang gugok lepas ya nya gugok dalam kedalaman yang sangat dalam and sik dapat di detect agik gya lah sebenarnya kita sikpat nak ngarapnya disimpan oleh kerajaan u s apa semua sekda kamek rasa sik mungkin lah benda-benda camya banyak gik benda lain	17.2
sarawak-00-127.wav	mun nya nak nyimpan pun lamak gilak dah nya nyimpan ya	2.31
sarawak-00-128.wav	untuk apa	0.72
sarawak-00-129.wav	yalah	0.27
sarawak-00-130.wav	kakya nya nk merik makan orang ya gik	1.37
sarawak-00-131.wav	aok	0.8
sarawak-00-132.wav	camney sik kan nya nak nyuroh orang ya mati nak sik mungkin lah	2.74
sarawak-00-133.wav	sikda macam-macam juak teori orang ada orang madah ilang di angkasa lah apa lah	5.87
sarawak-00-134.wav	ya cerita bodoh-bodoh jak ya sik perlu di nak ya	5.09
sarawak-00-135.wav	yalah kesian nangga owh bayangkan mun kita kah dalam ya ahli keluarga kita kah dalam belon ya	5.74
sarawak-00-136.wav	ya allah ndak lah kamek tauk	2.04
sarawak-04-1.wav	zul ney mek nenga adik kitak tek dah beranak	3.65
sarawak-04-2.wav	aok baruk jak baruk ari marek	1.88
sarawak-04-3.wav	edeh brapa kilo nya tek zul	2.69
sarawak-04-4.wav	tiga point kosong sembilan kilo	3.14
sarawak-04-5.wav	ah ee besar eh	1.21
sarawak-04-6.wav	aok besar kah	0.35
sarawak-04-7.wav	tapi nya full tapi nya nang sembilan bulan lah	3.25
sarawak-04-8.wav	aok nang nang cun-cun sembilan bulan lebih sehari sebenarnya	2.97
sarawak-04-9.wav	oh tapi selalunya mun anak pertama nya akan sama ada nya cepat ataupun nya lambat	7.39
sarawak-04-10.wav	hmm nya mun diekot due date nya nya terlebih sehari dari due date nya	5.79
sarawak-04-11.wav	ya okay lah ya	1.53
sarawak-04-12.wav	yalah tek	0.79
sarawak-04-13.wav	nya macam ney nya sikda rasa sakit ndah apa	3.11
sarawak-04-14.wav	pukul ada nya rasa sakit pukul limak pukul limak pagi tiba-tiba “pup ” nya madah aok aek ketuban nya pecah	9.9
sarawak-04-15.wav	macam berbunyi kah	1.06
sarawak-04-16.wav	aok ada bunyi	0.72
sarawak-04-17.wav	wah	0.41
sarawak-04-18.wav	tapi sikit ajak lah sikda lah macam	1.79
sarawak-04-19.wav	macam terkemeh lah	0.93
sarawak-04-20.wav	aok nya macam sikit ajak	1.12
sarawak-04-21.wav	takut eh	0.3
sarawak-04-22.wav	aek sikit ajak aok lepas ya tek	1.7
sarawak-04-23.wav	sakit lah	0.94
sarawak-04-24.wav	belum sakit gik macam ilek-ilek jak nya	1.61
sarawak-04-25.wav	pelik eh aok	0.98
sarawak-04-26.wav	macam gik ilek-ilek gik mamai-mamai bangun tido kakya tek pergi lah ke normah tek dah pergi ke normah tek lepas ya tek pukul tujoh baruk nya start rasa macam perut nya sakit	14.44
sarawak-04-27.wav	pukul tujoh pagi	1.06
