File ID,Transcript,Duration (s),Word Count
Kelantan_001_001_002_046,doh mugo sini jam sokmo nok wak rano terpakso lah,4.5994375,10
Kelantan_001_001_002_048,oh kalu kalu sedaro ambo mari kae nok gi jale wakaf che yeh nuh,5.0634375,14
Kelantan_001_001_002_050,keno keno jam sokmo situ tuh,3.126,6
Kelantan_001_001_002_052,oh pok mat mmasok lo ni,2.5140625,6
Kelantan_001_001_002_054,oh sekuk cicoh ai teh sedak gok tuh,3.2951875,8
Kelantan_001_001_002_056,hok nombor duo,2.07475,3
Kelantan_001_001_002_058,buke dio duk matrik lo ni habih doh matrik,3.4171875,9
Kelantan_001_001_002_062,untungla anok dio anok dio,2.5873125,5
Kelantan_001_001_002_063,hok nombor nombor brapo nih hok nok gi nih,3.581875,9
Kelantan_001_001_002_065,hoo duo-duo ore kae sore duduk,2.800375,6
Kelantan_001_001_002_066,di jordan sore,2.30375,3
Kelantan_001_001_002_067,sore lagi duduk di mano ah,4.0490625,6
Kelantan_001_001_002_068,australia hoo sumo gi blaja luar blako,5.07975,7
Kelantan_001_001_002_071,hoo nok gi jugok minggu depe ajak nyo nok gi,3.3631875,10
Kelantan_001_001_002_073,eh dok gi nga anok anok sdaro,3.7365625,7
Kelantan_001_001_002_074,dio dio ado rumoh situ di selangor,4.692875,7
Kelantan_001_001_002_075,betule nok gi rumoh dio etek,1.9770625,6
Kelantan_001_001_002_076,dio nok nawak anok dio etek hoo,2.12575,7
Kelantan_001_001_002_078,hoo kito biaso-biaso jah,2.7759375,4
Kelantan_001_001_002_082,naik kreto api la naik tumpat nuh breti di kl sentral nuh,5.5111875,12
Kelantan_001_001_002_084,kreto api ado pat tido,3.1748125,5
Kelantan_001_001_002_086,mugo ore tuo-tuo ni naik bas tok brapo nok gi sebabnyo ado masaaloh la,7.25325,14
Kelantan_001_001_002_087,kalu naik kkreto api ado blako kemudahe nyo,4.2005625,8
Kelantan_001_001_002_089,hoo gitu lah nok wak gano lamo,2.9713125,7
Kelantan_001_001_002_091,mahal tiketnyo kapal terbe tuh,3.368375,5
Kelantan_001_001_002_093,tak po la demo anok demo kijo besar blako,3.8993125,9
Kelantan_001_001_002_094,kreto besar bulih bli tiket kapal terbe,3.8505,7
Kelantan_001_001_002_096,ho nok gi doh nih,2.41775,5
Kelantan_001_001_002_097,jupo nga demo nih kecek meta,2.8545,6
Kelantan_001_001_002_098,lamo etek kito tok jupo,2.7581875,5
Kelantan_001_001_002_100,mugo kito mugo kito,2.3920625,4
Kelantan_001_001_002_101,tok tok tubik  lamo etek nyo,2.904625,6
Kelantan_001_005_001_001,ina jom la gi berene ni tak dok kijo nok buwak gapo boring ni study week,8.293875,16
Kelantan_001_005_001_003,tapi demo tue tok beli lagi ko baju kawe tunggu lamo doh,5.0024375,12
Kelantan_001_005_001_005,sunggoh bakpo tok oyak awalnyo,3.285375,5
Kelantan_001_005_001_007,kawe ajok awal lagi,2.5335625,4
Kelantan_001_005_001_009,sunggoh ni cukup cukup ni,2.3713125,5
Kelantan_001_005_001_010,tapi kae ina sebelum nok gi tuh keno pakai kupon dulu,5.1664375,11
Kelantan_001_005_001_011,skali masuk seriya,2.8725,3
Kelantan_001_005_001_013,nok keno gi jabate jabate keselamate alik tepi jale tuh,4.3624375,10
Kelantan_001_005_001_014,mugo ore pun kupon pun doh habih jugok doh  baru abih baru ni gi berene,6.10975,15
Kelantan_001_005_001_016,gini nok masuk situ keno bayar seriya,3.6798125,7
Kelantan_001_005_001_017,pahtu gak dio tok ambik pitih la keno gi beli kupon alik jabate keselamate tuh,5.6351875,15
Kelantan_001_005_001_018,tapi gak,1.1716875,2
Kelantan_001_005_001_020,tok keno pakai kupon,1.699,4
Kelantan_001_005_001_021,tok dio tok sey duit  mugo tahulah gano syarat syarat dio gitu,4.4411875,12
Kelantan_001_005_001_022,pahtu gak kalu demo nok,1.9345,5
Kelantan_001_005_001_023,tok soh la beli seriya beli la sapa pat limo riya bulih limo kali guno,5.2085,15
Kelantan_001_005_001_025,hoo,1.711375,1
Kelantan_001_005_001_026,pahtu gak keno pakai,2.3199375,4
Kelantan_001_005_001_027,ho pakai topi dio jange mu ado mu bli topi dio tok,4.6761875,12
Kelantan_001_005_001_029,tapi gak dale sikit la kolam tuh demo panda berenang kae berenang kae,5.5205625,13
Kelantan_001_005_001_032,betul jugok yoloh doh,1.9475625,4
Kelantan_001_005_001_033,pahtu gak ina ambo ingat ambo nok ajok demo main squash jugok,4.937125,12
Kelantan_001_005_001_034,demo aritu gi teme ko sain ore gi main squash,5.2665625,10
Kelantan_001_005_001_035,sedak lah main situ sedak muka-muka bola,4.2245625,7
Kelantan_001_005_001_037,ado alik stadium tuh oh dio beli kupon dio pulok buke kat alik jabate keselamate,7.52475,15
Kelantan_001_005_001_038,beli kupon dio oh lain pulok dio ado kat stadium tuh dio ado jabat kecik untuk beli kupon,7.6331875,18
Kelantan_001_005_001_040,oh gitu,3.314625,2
Kelantan_001_005_001_041,eh dok gini dio mulo mulo mulo mulo demo nok masuk kae masuk dale stadium tuh kae,7.707,17
Kelantan_001_005_001_042,dio ado tulih situ papan tando,2.084,6
Kelantan_001_005_001_043,ah membeli kupon dio tunjuk arrow demo ikut arrow tuh gi beli,4.6796875,12
Kelantan_001_005_001_044,dio muroh sikit kalu squash mugo sejey seriya ikut demo nok main berapo jey,5.29875,14
Kelantan_001_005_001_045,tapi gak ina kito kae tak dok racket,3.7291875,8
Kelantan_001_005_001_047,dio tak dok nyewo peralate sukan pulok situ tak dok,4.1711875,10
Kelantan_001_005_001_049,tulah sebab tu mikir pulok deh tak dok racket nok main gan,5.8325625,12
Kelantan_001_005_001_051,oh mmm betul jugok gi satu-satu lah kae lamo lamo serabut serabut rok kae,6.017125,14
Kelantan_001_005_001_053,pitih pulok,1.71975,2
Kelantan_001_005_001_055,ho la mugo,2.1343125,3
Kelantan_001_005_001_056,tahu tok caro sbelum ni nok gi berene tuh gapo tapi tahu aritu beraso nok berene tuh hok gi berene tuh,7.5151875,21
Kelantan_001_005_001_057,pukul brapo,1.506375,2
Kelantan_001_005_001_059,hoo yolo doh,3.1305625,3
Kelantan_001_005_001_061,student cemerle kae student panda kae,4.9135625,6
Kelantan_001_005_001_062,pahtu gak kito nok gi pukul brapo ni mugo dio bukok pukul limo setengoh gitu biar pun,6.745375,17
Kelantan_001_005_001_064,hoo beres loh make ko,2.42425,5
Kelantan_001_005_001_066,tapi gak nok gi berene situ tuh buke nok oyak gapo lah mmm hok muslimahnyo brapo ore jah hok lainnyo,9.8293125,20
Kelantan_001_005_001_067,jagolah mato anda kae,2.6281875,4
Kelantan_001_005_001_069,tadi makan breakfast gitu roti-roti gitu nok makan skali ke lunch,5.7938125,11
Kelantan_001_005_001_071,oh mari loh gi make make mano nok gi ni,3.6851875,10
Kelantan_001_005_001_073,kalu ikut ajak kawe kawe nok make alik keda depe tuh depe sungai dua,5.0851875,14
Kelantan_001_005_001_074,muroh pun muroh sedap pun sedap,1.965,6
Kelantan_001_005_001_076,tok tengok ko papan tanda,2.978875,5
Kelantan_001_005_001_078,meme ah turut ke demo make,3.83875,6
Kelantan_001_005_001_080,pahtu gak demo lagu mano lo ni gano ni kito gi berene dulu pahtu gak ye squash tuh kito gi hari lain lah kae,7.1169375,24
Kelantan_001_005_001_082,sunggoh,1.3305,1
Kelantan_001_005_001_083,ni haritu ambo eh,2.7835,4
Kelantan_001_005_001_084,demo rajin gi jale jogging alik tasik aman nga harap apo gapo,5.6528125,12
Kelantan_001_005_001_085,tasik aman damai ko gapo tasik harapan ko gapo,3.009875,9
Kelantan_001_005_001_087,hoo hok banyok bewok tah tapi jale gitu,4.18975,8
Kelantan_001_005_001_089,hoo kawe kawe haritu gi skali,3.476875,6
Kelantan_001_005_001_090,sain kawe ajok sebelum ni tok serro pun nok gi,4.845125,10
Kelantan_001_005_001_091,oh gi gi tuh mmm bulih bile brapo bewok atas atas tahu atas jale ado atas rumput ado,7.4405625,18
Kelantan_001_005_001_092,tapi mujur dio tok kacau ore ya,2.6108125,7
Kelantan_001_005_001_094,mujur hok tuh yalah kalu ganggu gak,2.355375,7
Kelantan_001_005_001_095,hok lah mmm sabit sabit jadi kes lain pulok deh,5.6928125,10
Kelantan_001_005_001_097,tuh lah ambo pun muzium pun tok gi mano tok gi,3.75325,11
Kelantan_001_005_001_098,tok tok kato tok complete lagi lah trip ambo,3.0316875,9
Kelantan_001_005_001_099,habih doh ko musing penang,2.905375,5
Kelantan_001_005_001_101,dok lagi,1.259125,2
Kelantan_001_005_001_103,oh tulah,1.4933125,2
Kelantan_001_005_001_104,kawe pun ajaknyo doh bulih muto tuh mugo,3.467625,8
Kelantan_001_005_001_105,sebelum ni kot dok naik bas gi kae doh beli muto nih sene nok gerak gi mano pon,6.00525,18
Kelantan_001_005_001_107,meme limited kae terhad jo,3.5105625,5
Kelantan_001_005_001_108,tapi ambo tengok ramai bowok kreto student,4.5555,7
Kelantan_001_005_001_111,tapi molek lagi pado ore tak dok gapo kae,2.0274375,9
Kelantan_001_005_001_113,tuh lah bakpo dok tapi biarlah mugo,4.134625,7
Kelantan_001_005_001_115,gapo ni hari tuh kluar paper ado ore lemas dekat kolam,6.121375,11
Kelantan_001_005_001_116,kolam kolam usm,2.6165625,3
Kelantan_001_005_001_118,mmm ado kes,1.6573125,3
Kelantan_001_005_001_119,tuh lah kalu nok gi berene tuh keno molek sikit lah,4.5844375,11
Kelantan_001_005_001_121,kesnyo dio gelincir time berene berene kaki dio gitu pahtu gak,4.5596875,11
Kelantan_001_005_001_122,dale kae,1.8861875,2
Kelantan_001_005_001_123,tino,0.978125,1
Kelantan_001_005_001_124,kolam tuh kae dale,2.1755,4
Kelantan_001_005_001_126,bendo nok jadi nok buwak mano,1.9891875,6
Kelantan_001_005_001_128,panda gitu gitu bulih lah nok terapung atas dale air tuh,4.254375,11
Kelantan_001_005_001_129,hok tuh jelah pandai mace diri gitu lah,3.1860625,8
Kelantan_001_005_001_131,tapi reti berene lah,2.292625,4
Kelantan_001_005_001_133,meme tok tok leh tok leh terjun gitu jah,3.678875,9
Kelantan_001_005_001_134,keno keno eh mu pandai ko ngapung diri,3.9925625,8
Kelantan_001_005_001_136,kawe pun dulu tok pandai tok pandai tok pandai langsung berene,4.170125,11
Kelantan_001_005_001_137,pahtu gak raso mace eh seronok tengok ore berene hok tuh ye blajar sdiri guno youtube jah,6.06,17
Kelantan_001_005_001_139,mmm sunggoh yolo yolo,2.1928125,4
Kelantan_001_005_001_141,mmm berapo lamo,2.76175,3
Kelantan_001_005_001_142,dio tok oyak gapo berapo lamo kito bulih pandai betul betul pandai berene,5.42475,13
Kelantan_001_005_001_144,mmm sunggoh,1.230625,2
Kelantan_001_005_001_145,kito gi male kito gi jogging ko gapo pete tuh kito gi berene alik sano,6.043,15
Kelantan_001_005_001_147,oh sungguh eh loni pun male ramai ore jogging kat stadium tuh,5.445,12
Kelantan_001_005_001_149,tulah tok kiro maso doh loni ore nok jogging,3.624375,9
Kelantan_001_005_001_151,baik loh mari la kito siap siap kito tunggu bowoh kito gi sekali berene deh,3.82575,15
Kelantan_001_005_002_002,lamo lamo demo tok ajak mari la kito gi,4.69725,9
Kelantan_001_005_002_004,hoo demo tok tahu beli dah,2.4210625,6
Kelantan_001_005_002_006,kawe tok sedio lagi kali,1.80025,5
Kelantan_001_005_002_007,mari la kito gi,1.5105625,4
Kelantan_001_005_002_009,nok gi,1.407125,2
Kelantan_001_005_002_010,beli mmano kupon tuh nok ambik mmano kupon tuh,2.708,9
Kelantan_001_005_002_012,baru habih doh rano kupon tuh benanyo  kito keno beli beli bulih pege la maksudnyo,6.281,15
Kelantan_001_005_002_014,buke bayar slalu situ,2.2761875,4
Kelantan_001_005_002_016,doh la nok masuk dale kole tuh nok keno pakai sut dio,4.8989375,12
Kelantan_001_005_002_017,tok leh pakai baju baju sebarange,3.0414375,6
Kelantan_001_005_002_018,tok leh pakai baju biaso,2.057875,5
Kelantan_001_005_002_020,topi ado la,2.3383125,3
Kelantan_001_005_002_021,ambo ambo pernoh pernoh doh sebelum ni,3.11175,7
Kelantan_001_005_002_022,ambo gi nga ayoh ambo,2.678375,5
Kelantan_001_005_002_024,doh kito besar doh kae lo ni,3.952875,7
Kelantan_001_005_002_026,main mmano ado ko ssini,3.4518125,5
Kelantan_001_005_002_028,ho lain pulok,1.8929375,3
Kelantan_001_005_002_030,jabat alik alik bowoh ko atas  sebab dio ado duo tekat aritu ambo naik atas gi jupo nga pengarah dio ambo,7.4100625,21
Kelantan_001_005_002_031,ado program kae ambo nok mitok nok sewo tapok parking tuh ambo nok jjual ssitu,5.9036875,15
Kelantan_001_005_002_033,jabat tuh ko,2.2269375,3
Kelantan_001_005_002_035,mmm tak dok pulok payoh la gitu nok main rano,5.5789375,10
Kelantan_001_005_002_037,gini la gini gini gini,3.2290625,5
Kelantan_001_005_002_038,ah kito kito gi berene yalah sebab mugo kito ado hok hok tuh jah peralate nyo,6.95925,16
Kelantan_001_005_002_040,hoo serabut palo otok lah nok gi blako tuh gok,3.262375,10
Kelantan_001_005_002_041,doh gi hujung-hujung hujung-hujung tahun akhir-akhir tahun buke hujung-hujung akhir-akhir tahun ni baru nok gi blako nyo,8.620375,17
Kelantan_001_005_002_043,ambo sibuk etek ambo sibuk etek sebelum ni kae ambo ado masuk kokurikulum,6.254875,13
Kelantan_001_005_002_044,tak dok maso lah kito nok kluar samo-samo pete pete gini ni,4.938,12
Kelantan_001_005_002_045,nok buat aktiviti-aktiviti riadah nyo,2.367,5
Kelantan_001_005_002_047,doh loni loni baru pukul duo dan kot kito nok gi beli kupon dulu,5.36525,14
Kelantan_001_005_002_049,make doh satni,2.1943125,3
Kelantan_001_005_002_050,pukul pukul sebelas setengoh make lapar do oh etek,3.5628125,9
Kelantan_001_005_002_052,demo tok make lagi,2.728375,4
Kelantan_001_005_002_054,sebabnyo make awal do hok ni tuh lapar smula mari kito gi,5.1548125,12
Kelantan_001_005_002_056,demo demo nok gi mano ambo ikut yalah,4.118625,8
Kelantan_001_005_002_058,keda gapo,2.394,2
Kelantan_001_005_002_060,eh kito ni kalu jupo make sokmo,3.5074375,7
Kelantan_001_005_002_062,hoo gi hari lain lah,2.2269375,5
Kelantan_001_005_002_063,nok gi banyok banyok tuh gok,1.8929375,6
Kelantan_001_005_002_064,tak dok maso,1.83725,3
Kelantan_001_005_002_066,tasik aman nga tasik fajar tuh,2.9083125,6
Kelantan_001_005_002_068,hoo banyok bewok di nuh takut ambo nok gi,4.5481875,9
Kelantan_001_005_002_070,gak tak po lah kalu dio tok ganggu ore gak,4.401625,10
Kelantan_001_005_002_072,musing dok lagi,2.67175,3
Kelantan_001_005_002_073,ado banyok tempat lagi tok gi,3.092625,6
Kelantan_001_005_002_075,hoo sini mudoh naik muto kalu naik kreto gak payoh parking,4.312625,11
Kelantan_001_005_002_077,tak dok tempat nok parking lah penuh-penuh kreto,4.8474375,8
Kelantan_001_005_002_079,tak polah demo ore kayo bowok kreto kito bowok muto jah,4.744125,11
Kelantan_001_005_002_082,tak po mugo kito bayar bayar yuran bas kae,4.955,9
Kelantan_001_005_002_083,kito bowok muto pun kito keno bayar yuran jugok,3.8971875,9
Kelantan_001_005_002_085,lemas mmano,1.7023125,2
Kelantan_001_005_002_086,kolam mano,1.1029375,2
Kelantan_001_005_002_088,hoo ado kes,2.2269375,3
Kelantan_001_005_002_090,tino ko jate,2.4496875,3
Kelantan_001_005_002_092,mmm doh ni demo nok gi ni demo pandai berene dop,4.4539375,11
Kelantan_001_005_002_094,ambo pun lamo doh tok gi,2.493375,6
Kelantan_001_005_002_095,lamo doh tok berlatihnyo,2.2269375,4
Kelantan_001_005_002_096,tok cukup stamina,3.006375,3
Kelantan_001_005_002_097,kito keno keno kuat stamina dulu nok nok berene nih,4.4539375,10
Kelantan_001_005_002_099,bulih lah sikit sikit,2.76025,4
Kelantan_001_005_002_101,hoo tak po lah ado tempat nok blajar,3.7063125,8
Kelantan_001_005_002_102,ginilah kalu gitu kalu nok blajar ambo ajok sain ambo ado sore tuh dio dio buke tuke ngajar sebab ore hok ngajar nih keno ado sijil dio dok,14.7040625,28
Kelantan_001_005_002_104,hoo kito dio dio pandai kae dio nok tulong lah,6.124125,10
Kelantan_001_005_002_106,doh kalu kito rajin mari latihan kito selalu berlatih berlatih tuh bulih lah,6.1866875,13
Kelantan_001_005_002_107,ni gak kalu yolah kito belajar lagi kae kadang kadang ado kelas pete tengok waktu male male bukok kae stadium ni mari bulih lah mari male male tuh gok,11.910375,29
Kelantan_001_005_002_109,biaso ore jogging ppagi ppagi,3.3814375,5
